Sigla,Código,City,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AL,2703106,Igaci,0.00122847,0.003952857,0.010829426,0.06655029,0.989878036,39.38310142,186.946609,1922.754058,124351.7224,1131462.8,2550361.03,3149902.73,,5728659.11,5544488.47,6414921.9,7973465.01,9506655.73,11076984.95,13127397,16150894,17917473,21365320,24068733.53,26132613.63,28859579.87,,36714018.96,39795255.97,42582174.07,44240841.03,49139556.91,49339102.15
AL,2703205,Igreja Nova,0.000828264,0.002490844,0.007563614,0.042629585,0.654479346,29.4783496,133.273244,1348.87405,110795.7222,1001100.7,2073142.83,2449731.79,3226521.29,5044165.94,5184774.04,6299217.27,6587286.88,8904027.66,9368226.93,11706160.22,13922128.98,16539646.95,19625461.69,25083750.68,27388803.26,32308197.56,38342152.84,37336170.7,40800627.22,47113671.71,47971785.87,52847468.3,62898228
AL,2703304,Inhapi,0.000476527,0.001798144,0.005182231,0.032753617,0.544694691,27.11457258,97.56392207,1511.850145,98772.7701,917823.5,1653638.06,2055106.24,2486019.52,,,4252657.37,5234391.62,7114233.26,8587710.31,8865397.83,,,,,19762169.83,24308948.41,,,30061585,31884129.74,34252700.49,40573812.79,38380830
AL,2703403,Jacaré dos Homens,0.000273449,0.000827558,0.003160281,0.014984388,0.220462255,14.93754484,60.66899324,748.2194969,46588.4481,423474.1,920479,995389.07,,1599062,1920753,2271098,2643473,3539630.44,3873268.31,4439083.12,5466426.36,6394851.6,7413314.14,9313489.76,9766453,10936221.52,13473650.93,14068342.52,15187610.05,9144262.84,16722109.03,11306018.87,19074961
AL,2703502,Jacuípe,0.000507413,0.00151494,0.00378759,0.020229655,0.335072582,9.611040546,63.06179087,558.0146844,60689.8522,518813,0,0,1450093.04,,,2865958.69,3747902.91,3964845.52,4476750.73,4646177.88,5904010.76,6537883.27,7775716.2,9543915.18,10125756.73,11593255.94,12875786.81,13271774.46,14383282.85,15472281.45,16202138.93,19886628,20727295.09
AL,2703601,Japaratinga,0.000553225,0.001697037,5.58E-05,0.02867702,0.397023818,20.70202862,83.67354564,809.993099,49356.9343,421894.8,930762.7,1117772.49,1425139.66,,,,2888983,3644685.78,4507914.72,5808547.23,,6674212.46,7722363.7,9615044.09,9971720.72,,,,14385944.04,15875539.64,15807172.6,,
AL,2703700,Jaramataia,0.000254855,0.000962297,0.003550676,0.014751372,0.270205382,12.51956364,45.7005272,948.5713447,59602.2384,536646,616852.13,1220510.92,1390962.12,,,2464322,2832308,3844837.24,3928804.53,4508615.17,5423862.96,6033484.23,6949949.65,8765163.03,9354430.27,10376891.4,12311896.56,13363311.21,14083946,,,,19205150
AL,2703759,Jequiá da Praia,,,,,,,,,,,,,,,,,4618655,6643663.18,7952305.68,9839000.76,11090136.83,12272492.37,15032685.91,17788720.9,18086305.78,20161997.53,24154040.64,,31372363,35164591.59,35967172.48,39464827.36,37897673
AL,2703809,Joaquim Gomes,0.001046897,0.003118817,0.008949288,0.046490715,1.016213782,48.76909902,273.5713705,2385.085346,138848.7937,1384198.7,2556055.4,2989860.42,3294292.41,5266280,5715909,6719131,7097814,8659836,8784556,11213646.98,12876564.67,14130171.13,17006346.82,21623884.22,24329131.88,28268507.4,32725869.75,34361448.93,,38783781.24,44561561.1,,46992803
AL,2703908,Jundiá,0.000908421,0.002741456,0.00731241,0.037225739,0.522785418,23.68329229,116.1127827,1281.341027,78323.9907,667153.5,1392585.29,1607099.72,1824769.93,2875726,2812633,2693639,3254686,4172646.5,4113688.58,4545370.72,5273014.47,5739381.18,7175382.26,8764542.46,9023411.9,10052341.7,11612582.69,12101520.82,12838170.47,15467305.72,14708855.51,18920366.45,17351105
